drug,condition,side,age0to2,age13to18,age19to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75,female,male,star1,star2,star3,star4,star5,mean,count,condition_raw,id,tl1,tl2,tl3,t10,t11,t12,t13,t14,t15,w10,w11,w12,w13,w14,w15,t20,t21,t22,t23,t24,t25,w20,w21,w22,w23,w24,w25,t30,t31,t32,t33,t34,t35,w30,w31,w32,w33,w34,w35
atenolol,High Blood Pressure,"Dizziness ,  lightheadedness , tiredness,  nausea , and  diarrhea  may occur.",0,13,33,94,157,300,356,206,101,814,446,101,83,238,376,462,3.805555556,1334,"High Blood Pressure, Hypertrophic Cardiomyopathy, Rapid Ventricular Heartbeat, Mitral Valve Prolapse Syndrome, Supraventricular Cardiac Arrhythmia, Ventricular Rate Control in Atrial Fibrillation, Essential Tremor, Other",43,medication,atenolol,blood,effect,time,side,doctor,day,week,0.054,0.054,0.049,0.044,0.043,0.035,blood,pressure,heart,year,drug,medication,0.083,0.081,0.074,0.072,0.052,0.045,,,,,,,,,,,,
vyvanse,Other,"Nausea ,  vomiting ,  constipation ,  stomach / abdominal pain , loss of appetite,  dry mouth ,  headache , nervousness,  dizziness ,  trouble sleeping ,  sweating ,  weight loss , irritability, and restlessness may occur.",0,143,175,265,261,211,133,40,11,859,380,132,78,185,313,531,3.833736885,1384,"Attention Deficit Disorder with Hyperactivity, Binge Eating Disorder, Recurring Sleep Episodes During the Day, Other",44,medication,day,vyvanse,people,vyvance,wife,capsule,content,sleeping,0.043,0.02,0.011,0.009,0.009,0.008,day,medication,year,school,time,work,0.065,0.048,0.032,0.032,0.029,0.022,,,,,,,,,,,,
cipro,Infection,"Nausea ,  diarrhea ,  dizziness ,  lightheadedness ,  headache , or  trouble sleeping  may occur.",4,9,86,194,204,254,236,179,72,927,311,419,116,198,223,282,2.865105008,2153,"Infection of the Bladder, Complicated Urinary Tract Infection caused by Klebsiella, Bacterial Urinary Tract Infection, Urinary Tract Infection due to E. Coli Bacteria, Acute Outer Ear Bacterial Infection caused by Proteus Mirabilis, Diverticulitis, Bladder Infection caused by E. Coli, Diarrhea caused by a Bacteria, Infection of Bone, Infection of the Prostate Gland caused by E. Coli, Other",45,pain,drug,cipro,day,pain,cipro,effect,side,infection,0.104,0.055,0.054,0.05,0.045,0.038,infection,food,bacteria,bladder,skin,blood,0.038,0.02,0.02,0.019,0.015,0.015,,,,,,,,,,,,
diovan,High Blood Pressure,Dizziness  or  lightheadedness  may occur as your body adjusts to the  medication .,0,1,3,41,117,287,346,289,106,736,454,123,101,240,326,400,3.654621849,1271,"High Blood Pressure, Chronic Heart Failure, Heart Failure, Prevention of Recurrent Atrial Fibrillation, Kidney Disease from Diabetes, Nondiabetic Proteinuric Nephropathy, Other",46,pain,blood,pressure,cause,insurance,half,change,finger,exercise,0.03,0.02,0.017,0.013,0.013,0.012,night,reaction,today,hair,change,water,0.031,0.03,0.019,0.019,0.017,0.015,,,,,,,,,,,,
adipex-p,Other,"Dizziness ,  dry mouth , difficulty sleeping, irritability,  nausea ,  vomiting ,  diarrhea , or  constipation  may occur.",0,4,151,450,337,141,51,5,0,1073,66,51,38,114,248,688,4.302897278,1199,"Weight Loss Management for an Obese Person, Weight Gain, Overweight, Adjunct Treatment of Obesity in a Comprehensive Weight Reduction Regimen",47,weight,week,adipex,day,pill,water,night,food,morning,0.108,0.073,0.036,0.022,0.02,0.016,thank,pain,com,stomach,end,mile,0.027,0.022,0.017,0.016,0.015,0.014,,,,,,,,,,,,
lorazepam,Anxious,"Drowsiness,  dizziness , loss of coordination,  headache ,  nausea ,  blurred vision , change in sexual interest/ability,  constipation ,  heartburn , or change in appetite may occur.",0,19,63,162,176,279,220,144,61,713,411,104,70,175,262,513,3.898576512,1239,"Anxious, Repeated Seizures with Unconsciousness Between Episodes, Mania associated with Bipolar Disorder, Adjunct Treatment, Delirium, Chronic Trouble Sleeping, Muscle Spasm, Prevent Nausea and Vomiting from Cancer Chemotherapy, Nausea and Vomiting caused by Cancer Drugs, Involuntary Quivering",48,sleep,day,anxiety,drug,anxiety,sleep,day,time,year,0.059,0.058,0.054,0.049,0.04,0.037,cancer,sympton,stress,year,seizure,level,0.041,0.037,0.035,0.031,0.029,0.014,,,,,,,,,,,,
doxycycline,Infection,"Diarrhea , loss of appetite,  nausea ,  vomiting ,  headache , or rectal discomfort may occur.",0,87,167,180,191,187,165,100,39,787,329,223,117,262,243,271,3.198924731,1239,"Acne, Bronchitis, Infection due to the Bacteria Rickettsia, Pneumonia caused by Bacteria, Infected Conjunctiva by Chlamydia Trachomatis Bacteria, Bacterial Skin Infection - Yaws, Sinus Irritation and Congestion, Upper Respiratory Infection caused by Pneumococcus, Lyme Disease, Malaria, Acute Gonorrhea of the Urethra, Inflammation of the Gums and Mouth, Skin Infection, Acne Rosacea, Other",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chantix,Other,"Nausea ,  headache ,  vomiting , drowsiness, gas,  constipation ,  trouble sleeping , unusual  dreams , or changes in taste may occur.",0,2,38,224,244,314,214,48,3,754,333,114,56,80,173,664,4.119595216,1169,Stop Smoking,50,side,chantix,day,sleep,anxiety,control,behavior,lexapro,drink,0.04,0.029,0.014,0.013,0.012,0.01,nightmare,loss,tongue,kidney,flu,hospital,0.028,0.014,0.012,0.011,0.011,0.011,,,,,,,,,,,,
simvastatin,Other,No record,1,0,9,21,83,276,402,207,78,627,450,250,132,202,228,265,3.116991643,1048,"Homozygous Inherited High Blood Cholesterol, Slow Progression of Disease of the Arteries of the Heart, High Cholesterol, Combined High Blood Cholesterol and Triglyceride Level, Prevention of Transient Ischemic Attacks, Stroke Prevention, Increased Triglycerides and Cholesterol, Changes Involving Fatty Deposits in the Blood Vessels, High Amount of Fats in the Blood, Treatment to Prevent a Heart Attack, Primary Prevention of Heart Attack, Other",51,pain,drug,side,pain,muscle,week,leg,medicine,stomach,0.137,0.076,0.035,0.035,0.025,0.023,medication,level,cramp,cholesterol,leg,hair,0.056,0.033,0.032,0.031,0.027,0.026,,,,,,,,,,,,
amitriptyline hcl,Pain,"Drowsiness,  dizziness ,  dry mouth ,  blurred vision ,  constipation ,  weight  gain, or trouble urinating may occur.",0,24,72,160,194,286,190,82,36,837,207,174,92,203,266,309,3.425287356,1128,"Disorder characterized by Stiff, Tender & Painful Muscles, Migraine Prevention, Neuropathic Pain, Depression, Posttraumatic Stress Syndrome, Other",52,medication,sleep,pain,sleep,night,hour,pill,dosage,bed,0.099,0.083,0.042,0.025,0.025,0.023,pain,weight,medication,year,drug,gain,0.072,0.056,0.046,0.045,0.041,0.03,,,,,,,,,,,,
amlodipine,High Blood Pressure,"Dizziness ,  lightheadedness , or tiredness may occur as your body adjusts to the  medication . Dry  cough  or abdominal/ stomach pain  may also occur.",0,3,5,24,88,223,291,279,124,578,459,176,135,249,241,236,3.217936355,1190,"High Blood Pressure, High Cholesterol, Homozygous Inherited High Blood Cholesterol, Combined High Blood Cholesterol and Triglyceride Level, Other",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthroid,Other,Hair loss  may occur during the first few months of treatment.,0,15,39,91,161,284,243,135,53,891,130,227,125,229,193,247,3.105778648,1094,"Underactive Thyroid, A Progressive Disease of the Thyroid Gland, Additional Treatment for Thyroid Cancer, Serious Decrease in Thyroid Function, Thyroid Cancer, Decreased Thyroid Function existing from Birth, Enlarged Thyroid Gland, Other",54,weight,thyroid,,year,weight,doctor,medication,month,time,0.058,0.05,0.044,0.039,0.034,0.034,leg,help,effect,hormone,experience,trouble,0.026,0.025,0.021,0.018,0.018,0.015,,,,,,,,,,,,
plavix,Other,"Easy bleeding/bruising,  stomach  upset/pain,  diarrhea , and  constipation  may occur.",0,0,2,7,50,179,313,288,165,477,527,114,84,175,265,366,3.682270916,1067,"Treatment to Prevent Peripheral Artery Thromboembolism, Prevention for a Blood Clot going to the Brain, Blood Clot Prevention Following Percutaneous Coronary Intervention, Heart Attack, Myocardial Reinfarction Prevention, Acute Syndrome of the Heart, Other",55,blood,drug,heart,problem,year,day,doctor,stroke,blood,0.058,0.057,0.048,0.03,0.03,0.024,drug,effect,side,leg,bruise,work,0.097,0.032,0.03,0.018,0.015,0.014,,,,,,,,,,,,
ativan,Anxious,"Drowsiness,  dizziness ,  blurred vision , pain/burning/swelling/redness at the injection site, or unsteadiness may occur.",0,14,95,193,189,240,144,74,34,703,280,102,60,133,210,478,3.917599186,1070,"Calming of Intubated Patient by Administration of Sedative, Anxious, Symptoms from Alcohol Withdrawal, Additional Local Anesthesia, Additional Medication for Calming, Delirium, Prevent Nausea and Vomiting from Cancer Chemotherapy, Chronic Trouble Sleeping, Psychosis caused by Sudden Alcohol Withdrawal, A Feeling of Restlessness with Inability to Sit Still, Nausea and Vomiting caused by Cancer Drugs, Muscle Spasm, Tension Headache",56,sleep,day,anxiety,seizure,zombie,epilepsy,level,loss,dentist,0.017,0.014,0.013,0.012,0.012,0.012,anxiety,day,attack,panic,time,work,0.078,0.073,0.06,0.051,0.031,0.028,,,,,,,,,,,,
omeprazole,Pain,"Diarrhea ,  headache ,  nausea ,  vomiting , and abnormal taste may occur.",0,14,21,76,95,219,283,202,56,596,370,143,73,133,223,394,3.67494824,1135,"Inflammation of the Stomach Lining caused by H. Pylori, Treatment to Prevent Heartburn, Condition in which Stomach Acid is Pushed Into the Esophagus, Heartburn, Ulcer of Duodenum caused by Bacteria Helicobacter Pylori, Stress Ulcer Prevention, Inflammation of the Esophagus with Erosion, Medication Treatment for Healing Erosive Esophagitis, Stomach Ulcer, Ulcer of the Duodenum, Other",57,medication,pain,drug,drug,weight,system,blood,love,food,0.055,0.039,0.032,0.026,0.023,0.016,drug,day,effect,year,heartburn,problem,0.049,0.048,0.044,0.037,0.034,0.032,,,,,,,,,,,,
mucinex,Other,"Temporary burning, stinging, dryness in the nose,  runny nose , and  sneezing  may occur.",0,12,72,194,175,196,154,88,55,710,236,204,87,173,221,261,3.262156448,1030,"Stuffy Nose, Sinus Headache, Cough, Cold Symptoms, Inflammation of the Nose, Flu-Like Symptoms, Inflammation of the Nose due to an Allergy, Runny Nose, Other",58,side,cough,,effect,side,pill,cough,heart,work,0.078,0.057,0.034,0.025,0.017,0.017,hour,cough,day,congestion,time,chest,0.048,0.048,0.047,0.039,0.035,0.031,,,,,,,,,,,,
levaquin,Infection,"Nausea ,  diarrhea ,  headache ,  dizziness ,  lightheadedness , or  trouble sleeping  may occur.",0,7,29,129,184,250,211,85,30,712,213,315,98,161,160,191,2.798918919,997,"infection caused by bacteria, Pneumonia caused by Bacteria, Bacterial Infection of Kidney due to E. Coli Organism, Bacterial Infection with Bronchitis, Acute Inflammation of the Maxillary Sinus, Urinary Tract Infection due to E. Coli Bacteria, Bronchitis caused by Haemophilus Parainfluenzae Bacteria, Complicated Skin Infection, Skin Infection, Other",59,pain,infection,drug,blood,depression,taste,pm,water,sense,0.015,0.013,0.013,0.01,0.009,0.009,tendon,surgery,damage,antibiotic,calf,tendonitis,0.028,0.025,0.023,0.017,0.012,0.012,,,,,,,,,,,,
sprintec,Pain,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",1,125,398,271,89,29,6,3,1,907,16,125,47,115,187,449,3.853737811,1666,"Birth Control, Abnormal Bleeding from the Uterus, Painful Periods, Acne, Endometriosis, Disease of Ovaries with Cysts, Absence of Menstrual Periods, Excessive Hairiness, Other",60,control,pill,sprintec,pill,month,period,week,day,sprintec,0.077,0.064,0.044,0.036,0.035,0.033,boyfriend,cyst,hate,cause,feeling,water,0.046,0.02,0.02,0.018,0.015,0.013,,,,,,,,,,,,
diltiazem hcl,High Blood Pressure,"Dizziness ,  lightheadedness ,  weakness ,  nausea , flushing,  constipation , and  headache  may occur.",0,6,0,18,87,231,289,177,115,556,367,134,81,223,206,279,3.449620802,179,"High Blood Pressure, Type of Angina Where Chest Pain Occurs at Rest, Supraventricular Cardiac Arrhythmia, Ventricular Rate Control in Atrial Fibrillation, Chronic Stable Angina, Paroxysmal Supraventricular Tachycardia, Other",61,medication,blood,pressure,blood,pressure,drug,work,medication,hour,0.133,0.117,0.103,0.036,0.031,0.029,effect,side,day,problem,medication,heart,0.093,0.083,0.054,0.029,0.025,0.024,,,,,,,,,,,,
depakote,Depression,"Diarrhea ,  dizziness , drowsiness,  hair loss , blurred/ double vision , change in menstrual periods,  ringing in the ears , shakiness (tremor), unsteadiness,  weight  changes may occur.",0,30,90,192,218,214,119,41,13,645,272,158,80,178,200,301,3.442748092,1017,"Migraine Prevention, Bipolar Depression, Bipolar Disorder in Remission, Tonic-Clonic Epilepsy, Petit Mal Seizures, Epileptic Seizure, Manic-Depression, Seizures with Breaks in Consciousness & Other Symptoms, Convulsive Seizures, Other",62,medication,weight,drug,weight,effect,sleep,side,medication,episode,0.05,0.031,0.024,0.024,0.022,0.021,day,time,medicine,depression,week,pill,0.039,0.031,0.026,0.024,0.023,0.018,,,,,,,,,,,,
klonopin,Anxious,"Drowsiness,  dizziness , tiredness, loss of coordination, or increased  saliva  production may occur.",0,13,54,202,215,229,127,61,12,609,304,73,50,109,195,486,4.063526835,986,"Panic Disorder, Petit Mal Seizures, Convulsive Seizures, Seizure with Loss of Normal Tone or Strength, Mania associated with Bipolar Disorder, Adjunct Treatment, A Feeling of Restlessness with Inability to Sit Still, Simple Partial Seizures, Epileptic Seizure, Essential Tremor, Other",63,panic,drug,anxiety,clonazepam,head,mom,movement,car,hope,0.022,0.02,0.01,0.009,0.009,0.009,sleep,doctor,drug,night,effect,med,0.039,0.033,0.023,0.022,0.022,0.015,,,,,,,,,,,,
venlafaxine,Depression,"Nausea , drowsiness,  dizziness ,  dry mouth ,  constipation , loss of appetite,  blurred vision , nervousness,  trouble sleeping , unusual  sweating , or yawning may occur.",0,12,50,136,154,223,220,80,26,675,226,167,69,160,217,288,3.432852386,941,"Depression, Anxiousness associated with Depression, Neuropathic Pain, Repeated Episodes of Anxiety, Bipolar Depression, ""Change of Life"" Signs, Major Depressive Disorder, Posttraumatic Stress Syndrome, Extreme Apprehension or Fear of Social Interaction, Other",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actonel,Other,Upset stomach  may occur. Stomach  upset may occur.,0,0,0,12,28,240,380,160,76,832,64,524,104,136,72,60,1.928571429,952,"Osteoporosis, Post-Menopausal Osteoporosis Prevention, Decreased Bone Mass Following Menopause, Glucocorticoid-Induced Osteoporosis Prevention, Osteoporosis caused by Glucocorticoid Drugs, Paget's Disease of Bone, Other",65,pain,bone,drug,pain,month,side,effect,drug,day,0.098,0.053,0.036,0.033,0.032,0.031,pain,bone,drug,year,month,actonel,0.052,0.043,0.034,0.034,0.029,0.028,,,,,,,,,,,,
clindamycin hcl,Infection,"Nausea ,  vomiting , or  diarrhea  may occur.",3,28,76,162,156,206,168,69,20,665,223,251,75,164,165,233,3.060810811,814,"infection caused by bacteria, Skin Infection, Acute Streptococcus Pyogenes Bacteria Infection of Sinuses, Sinus Irritation and Congestion, A type of Parasitic Infection - Babesiosis, Acne, Bacterial Pneumonia caused by Streptococcus, Treatment to Prevent Bacterial Infection of a Heart Valve, Severe Sinusitis caused by Streptococcus Pneumoniae, Abscess Within the Abdomen caused by Anaerobic Bacteria, Sepsis Caused by Bacteria, Pelvic Inflammatory Disease, Diabetic with Foot Infection due to a Specific Bacteria, Middle Ear Infection, Inflammation of the Vagina caused by Bacteria, Other",66,medication,day,infection,day,infection,medication,drug,pain,medicine,0.082,0.054,0.04,0.035,0.025,0.023,reaction,body,hive,throat,skin,dentist,0.054,0.033,0.028,0.027,0.026,0.023,,,,,,,,,,,,
savella,Pain,"Nausea ,  vomiting ,  dry mouth ,  constipation , loss of appetite,  dizziness , increased  sweating ,  headache , or  hot flashes  (flushing) may occur.",0,0,11,63,173,332,233,64,4,821,59,200,95,162,211,212,3.159090909,914,"Disorder characterized by Stiff, Tender & Painful Muscles",67,pain,day,savella,heart,pressure,see,task,vomit,call,0.033,0.018,0.017,0.016,0.016,0.015,pain,effect,side,day,week,savella,0.1,0.051,0.04,0.039,0.035,0.029,,,,,,,,,,,,
topiramate,Pain,"Tiredness, drowsiness,  dizziness , loss of coordination, tingling of the hands/feet, loss of appetite, changes in how foods taste,  diarrhea , and  weight loss  may occur.",0,16,65,177,172,246,151,34,8,747,122,189,68,148,272,192,3.241657077,969,"Migraine Prevention, Essential Tremor, Simple Partial Seizures, Additional Medication to Treat Partial Seizures, Involuntary Quivering, Tonic-Clonic Epilepsy, Habit of Drinking Too Much Alcohol, Other",68,side,medication,,day,drug,effect,anxiety,side,problem,0.063,0.053,0.023,0.019,0.018,0.017,medication,headache,migraine,year,week,month,0.057,0.047,0.045,0.036,0.028,0.026,,,,,,,,,,,,
indomethacin,Pain,"Upset stomach ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0,0,18,82,85,253,200,154,76,352,516,125,70,109,221,343,3.676267281,955,"Gout, Joint Damage causing Pain and Loss of Function, Inflammation of a Shoulder Joint, Acute Pain, Shoulder Tendon Inflammation, Rheumatic Disease causing Pain & Stiffness in Backbone, Other",69,pain,gout,drug,pain,day,gout,medication,hour,attack,0.113,0.089,0.055,0.038,0.033,0.028,stomach,drug,arthritis,problem,doctor,shoulder,0.07,0.067,0.044,0.035,0.032,0.02,,,,,,,,,,,,
paroxetine,Depression,"Nausea , drowsiness,  dizziness ,  trouble sleeping , loss of appetite,  weakness ,  dry mouth ,  sweating ,  blurred vision , and yawning may occur.",0,6,93,140,180,196,169,61,15,574,286,94,115,144,223,284,3.56744186,903,"Extreme Apprehension or Fear of Social Interaction, Posttraumatic Stress Syndrome, Major Depressive Disorder, Repeated Episodes of Anxiety, Osteoporosis, Panic Disorder, ""Change of Life"" Signs, Depression, Bipolar Depression, Anxiousness associated with Depression",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithium carbonate,Depression,"Drowsiness,  dizziness , tiredness, increased thirst, increased frequency of urination,  weight  gain, and mildly shaking hands (fine tremor) may occur.",0,26,88,238,160,208,110,23,6,642,217,124,58,136,191,350,3.681024447,885,"Bipolar Depression, Additional Medications to Treat Depression, Manic-Depression, Mania associated with Bipolar Disorder, Rapid Cycle Manic-Depression, Other",71,drug,side,lithium,lithium,episode,treatment,disorder,level,sodium,0.052,0.03,0.011,0.01,0.01,0.009,lithium,effect,year,drug,side,time,0.065,0.045,0.043,0.036,0.033,0.03,,,,,,,,,,,,
augmentin,Infection,"Diarrhea ,  nausea , or  vomiting  may occur.",6,16,51,169,129,182,201,75,23,650,202,176,76,159,209,232,3.287558685,924,"Severe Sinusitis caused by Streptococcus Pneumoniae, infection caused by bacteria, Acute Bacterial Infection of the Sinuses, Skin Infection due to Staphylococcus Aureus Bacteria, Middle Ear Infection, Pneumonia caused by Bacteria, Acute Sinus Infection caused by Klebsiella Pneumoniae Bacteria, Diverticulitis, Diabetic Foot Infection, Lower Respiratory Tract Infection, Dog Bite Wound, Urinary Tract Infection, Cat Bite Wound, Other",72,drug,infection,sinus,food,day,headache,medication,pill,stomach,0.047,0.033,0.029,0.027,0.023,0.018,day,infection,stomach,pain,diarrhea,sinus,0.126,0.049,0.04,0.038,0.035,0.035,,,,,,,,,,,,
singulair,Other,No record,8,28,46,148,204,148,146,86,26,692,148,134,64,140,196,306,3.566666667,1038,"Allergic Asthma, Inflammation of the Nose due to an Allergy, Asthma Prevention, Seasonal Runny Nose, Controller Medication for Asthma, Non-Seasonal Allergic Runny Nose, Late Onset Asthma, Inflammation of the Nose due to an Allergy, Exercise-Induced Bronchospasm Prevention, Other",73,medication,singulair,drug,nose,pill,hour,sleep,sinus,treatment,0.03,0.029,0.024,0.022,0.022,0.021,year,effect,asthma,medication,singulair,allergy,0.052,0.04,0.038,0.035,0.031,0.031,,,,,,,,,,,,
meloxicam,Pain,"Stomach  upset,  nausea ,  dizziness , or  diarrhea  may occur.",0,6,16,34,93,203,264,163,51,590,240,165,83,122,191,269,3.380722892,906,"Rheumatoid Arthritis, Joint Damage causing Pain and Loss of Function, Joint Inflammatory Disease in Children and Young Adults, Rheumatic Disease causing Pain & Stiffness in Backbone, Non-Radiographic Axial Spondyloarthritis, Other",74,pain,day,meloxicam,pain,medication,knee,week,stomach,year,0.131,0.046,0.041,0.034,0.031,0.027,work,hand,medicine,neck,med,swelling,0.045,0.034,0.03,0.025,0.016,0.016,,,,,,,,,,,,
benicar,High Blood Pressure,"Dizziness  or  lightheadedness  may occur as your body adjusts to the  medication . If any of these effects persist or worsen, tell your doctor or  pharmacist  promptly.",0,0,2,24,88,221,239,187,67,512,316,79,62,146,234,307,3.758454106,892,"High Blood Pressure, Chronic Heart Failure, Diastolic Heart Failure, Other",75,side,blood,pressure,insurance,thing,people,hypertension,heart,review,0.026,0.013,0.013,0.012,0.012,0.012,hive,blood,effect,pressure,side,drug,0.066,0.049,0.047,0.046,0.038,0.031,,,,,,,,,,,,
bystolic,High Blood Pressure,"Headache ,  dizziness ,  lightheadedness , tiredness,  nausea , slow heartbeat, or  trouble sleeping  may occur.",0,0,14,35,82,224,237,156,57,504,301,137,99,165,188,216,3.306832298,896,"Chronic Heart Failure, High Blood Pressure, Ventricular Rate Control in Atrial Fibrillation, Other",76,blood,pressure,drug,effect,side,pressure,blood,drug,heart,0.051,0.039,0.039,0.037,0.033,0.031,med,neck,cough,nausea,stomach,coreg,0.031,0.023,0.016,0.014,0.012,0.012,,,,,,,,,,,,
arimidex,Other,"Hot flashes ,  headache ,  trouble sleeping ,  dizziness ,  stomach  upset,  nausea / vomiting ,  constipation ,  diarrhea , loss of appetite,  weight  gain, tiredness/ weakness , increased  coughing , or  sore throat  may occur.",0,0,1,5,24,173,322,179,90,719,75,134,70,139,214,237,3.440806045,643,"Hormone Receptor Positive Breast Cancer, Breast Cancer, Hormone Receptor Positive Postmenopausal Early Breast Cancer, Locally Advanced Breast Carcinoma, Breast Cancer that has Spread to Another Part of the Body, Other",77,pain,arimidex,drug,pain,year,effect,cancer,drug,arimidex,0.052,0.048,0.037,0.031,0.03,0.029,lot,headache,period,spasm,sweat,minute,0.034,0.027,0.017,0.011,0.009,0.009,,,,,,,,,,,,
viibryd,Depression,"Diarrhea ,  nausea ,  vomiting ,  dizziness ,  trouble sleeping , decreased interest in  sex , or changes in sexual ability may occur.",0,6,33,129,191,210,163,42,8,624,158,210,78,153,160,181,3.030690537,858,Major Depressive Disorder,78,side,drug,,heart,withdrawal,loss,episode,bathroom,trouble,0.022,0.021,0.016,0.015,0.012,0.01,effect,day,drug,side,week,anxiety,0.048,0.041,0.038,0.037,0.033,0.027,,,,,,,,,,,,
hydrochlorothiazide,High Blood Pressure,"Upset stomach ,  dizziness , or  headache  may occur as your body adjusts to the  medication . If any of these effects last or get worse, tell your doctor or  pharmacist  promptly.",0,3,10,53,111,202,200,133,63,535,240,139,88,164,184,200,3.281290323,1730,"High Blood Pressure, Visible Water Retention, Prevention of Calcium-Containing Kidney Stones, Diabetes Insipidus with Kidney Complications, Fluid in the Lungs due to Chronic Heart Failure, Other",79,medication,blood,pressure,drug,effect,blood,pressure,day,medication,0.044,0.043,0.042,0.04,0.032,0.032,arm,weakness,head,alot,stone,nausea,0.049,0.016,0.014,0.014,0.014,0.013,,,,,,,,,,,,
clonidine hcl er,High Blood Pressure,"Dizziness ,  lightheadedness , drowsiness, tiredness, stuffy nose,  dry mouth , or  constipation  may occur.",4,22,19,84,121,189,166,122,44,544,227,114,79,193,169,216,3.381322957,440,"Excessive Sweating, Symptoms from Stopping Treatment with Opioid Drugs, High Blood Pressure, Attention Deficit Disorder with Hyperactivity, Tourette's, ""Change of Life"" Signs, Symptoms from Alcohol Withdrawal, Other",80,medication,pressure,clonidine,pressure,blood,drug,clonidine,doctor,effect,0.069,0.062,0.055,0.033,0.03,0.028,drug,clonidine,effect,time,work,son,0.046,0.044,0.031,0.02,0.019,0.018,,,,,,,,,,,,
ibuprofen,Pain,"Upset stomach ,  nausea ,  vomiting ,  headache ,  diarrhea ,  constipation ,  dizziness , or drowsiness may occur.",0,19,44,84,86,166,144,137,83,480,283,88,66,165,227,217,3.5491481,1237,"Osteoarthritis and High Risk of Developing Gastric Ulcers, Pain, Chronic Trouble Sleeping, Joint Damage causing Pain and Loss of Function, Rheumatoid Arthritis, Migraine Headache, Gout, Other",81,pain,ibuprofen,day,pain,effect,drug,medication,blood,time,0.054,0.041,0.035,0.032,0.03,0.027,pain,work,year,day,ibuprofen,period,0.069,0.039,0.037,0.031,0.023,0.022,,,,,,,,,,,,
benzonatate,Other,"Drowsiness,  dizziness ,  headache ,  nausea ,  stomach  upset,  constipation , and stuffy nose may occur.",0,2,15,85,112,199,202,112,35,565,197,273,78,70,97,244,2.948818898,857,Cough,82,medication,cough,sleep,year,syrup,stuff,money,condition,waste,0.055,0.031,0.019,0.018,0.017,0.016,cough,day,medication,night,drug,time,0.163,0.058,0.043,0.037,0.033,0.033,,,,,,,,,,,,
metronidazole,Infection,"Dizziness ,  headache ,  stomach  upset,  nausea ,  vomiting , loss of appetite,  diarrhea ,  constipation , or  metallic taste  in your  mouth  may occur.",0,15,127,202,121,152,96,33,10,678,78,98,65,138,217,238,3.571428571,853,"Crohn's Disease, Vaginosis caused by Bacteria, Acne Rosacea, Osteoporosis, Infection caused by the Bacteria Anaerobes, Inflammation of the Stomach Lining caused by H. Pylori, Diverticulitis, Peptic Ulcer due to Bacteria Helicobacter Pylori, Bacteroides Infection Following Vaginal Cuff Surgery, Clostridium Difficile Bacteria Related Colitis, Infection that causes Diarrhea - Giardiasis, Infection Around a Tooth, Infection of a Woman's Reproductive Organs",83,side,day,taste,experience,stuff,gel,part,result,surgery,0.022,0.022,0.015,0.013,0.013,0.013,day,taste,pill,medication,effect,time,0.08,0.055,0.039,0.033,0.031,0.031,,,,,,,,,,,,
bactrim,Infection,"Nausea ,  vomiting ,  diarrhea , and loss of appetite may occur.",2,22,92,143,156,134,115,58,25,584,163,216,76,129,155,171,2.985274431,823,"Skin Infection, Pneumonia caused by Bacteria, Urinary Tract Infection due to E. Coli Bacteria, Bacterial Urinary Tract Infection, Sinus Irritation and Congestion, Chronic Slow Progressing Ulcerative Granulomatous Disease, Diverticulitis, Infection of Bone, Chronic Bronchitis caused by Streptococcus Pneumoniae, Other",84,medication,drug,bactrim,bactrim,daughter,skin,month,food,cipro,0.04,0.021,0.019,0.015,0.015,0.013,day,infection,rash,fever,body,medication,0.058,0.042,0.029,0.022,0.02,0.02,,,,,,,,,,,,
clobetasol propionate,Other,"Burning, stinging,  itching , irritation, redness, discoloration,  dry skin ,  hair loss ,  headache , or  acne  may occur when this  medication  is first applied to the scalp.",0,1,32,101,75,151,199,117,56,482,250,100,69,68,121,374,3.819672131,837,"Psoriasis of Scalp, Plaque Psoriasis, Atopic Dermatitis, Skin Disease of the Scalp, Skin Inflammation, Coin Shaped Rash, Contact Dermatitis, Other",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluoxetine,Depression,"Nausea , drowsiness,  dizziness ,  anxiety ,  trouble sleeping , loss of appetite, tiredness,  sweating , or yawning may occur.",0,52,88,178,138,135,93,24,14,579,143,78,72,126,189,257,3.657894737,771,"Major Depressive Disorder, Depression, Anxiousness associated with Depression, Obsessive Compulsive Disorder, Panic Disorder, Repeated Episodes of Anxiety, Posttraumatic Stress Syndrome, ""Change of Life"" Signs, Premature Ejection of Semen, Other",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
